submission_id,submission_date,gender,age,geography,financial_situation,education,employment_status,submission_state,do_children_3_and_17_yrs_receive_regular_school_meals,are_there_teachers_at_scheduled_class_hours,can_children_observe_deterioration_of_basic_services_of_school,are_there_children_0_to_2_yrs_out_of_educational_system,were_children_3_to_17_yrs_enrolled_and_did_not_return_to_school,are_there_children_who_stopped_enrolling_in_primary_education,are_there_children_who_stopped_enrolling_in_secondary_education,are_children_attending_face_to_face_classes,are_children_3_to_17_yrs_dealing_with_irregular_school_activity,are_children_being_teached_by_unqualified_people,did_teachers_leave_the_educational_system,do_school_and_the_teachers_have_internet_connection,do_children_have_internet_connection,do_children_3_to_17_yrs_miss_virtual_class_due_to_lack_of_electricity,does_home_shows_severe_deficit_of_electricity,does_home_shows_severe_deficit_of_internet,do_children_3_to_17_yrs_miss_class_or_in_lower_grade,are_children_promoted_with_a_modality_different_from_formal_evaluation
6142303541657600,2/7/2021,Female,>45,"City,Metropolitian",food_regexpenses_nothingelse,Univ_college_degree_completed,FullTime,Distrito Federal,No,yes,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
4828872444215296,3/15/2021,Male,26-35,"City,Metropolitian",food_regexpenses_clothes_nothingelse,Univ_college_degree_completed,FullTime,Táchira,No,sometimes,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
5241154944892928,3/18/2021,Male,36-45,"Suburban,Peri-urban",notenoughfood,Univ_college_degree_completed,Unemployed,Táchira,No,sometimes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5281556880162816,4/7/2021,Female,16-25,"Suburban,Peri-urban",notenoughfood,Univ_college_degree_completed,Housework,Mérida,No,sometimes,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1
6154893936295936,3/17/2021,Female,36-45,Rural,notenoughfood,Univ_college_degree_completed,Unemployed,Mérida,No,no,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1
6084403976732672,3/29/2021,Male,26-35,"City,Metropolitian",notenoughfood,secondary_highschool_completed,PartTime,Mérida,3-4days,yes,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1
6728207176040448,3/21/2021,Female,26-35,"Suburban,Peri-urban",food_nothingelse,secondary_highschool_completed,PartTime(Student),Mérida,No,sometimes,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1
5747543400251392,3/13/2021,Female,16-25,Rural,food_regexpenses_clothes_nothingelse,Primary_school_completed,Student,Mérida,No,no,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
5306240006881280,3/13/2021,Male,36-45,"City,Metropolitian",food_regexpenses_nothingelse,Univ_college_degree_completed,PartTime,Mérida,No,yes,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
5873682026332160,3/13/2021,Female,>45,Rural,food_regexpenses_nothingelse,diploma_degreecompleted,PartTime,Mérida,No,sometimes,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
4603150085652480,3/28/2021,Male,16-25,Rural,notenoughfood,Primary_school_completed,Student,Carabobo,No,sometimes,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0
5609529055379456,3/13/2021,Male,36-45,"City,Metropolitian",food_regexpenses_clothes_nothingelse,secondary_highschool_completed,PartTime,Distrito Federal,No,sometimes,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1
5588256686342144,3/14/2021,Female,16-25,Rural,notenoughfood,secondary_highschool_completed,Unemployed,Distrito Federal,No,no,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5497174669656064,6/10/2021,Female,26-35,"City,Metropolitian",notenoughfood,Univ_college_degree_completed,PartTime,Distrito Federal,No,no,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
4708750463336448,3/13/2021,Male,26-35,"City,Metropolitian",food_regexpenses_clothes_nothingelse,Univ_college_degree_completed,FullTime,Distrito Federal,No,yes,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
5160952940199936,3/13/2021,Female,16-25,"City,Metropolitian",food_regexpenses_nothingelse,Univ_college_degree_completed,FullTime,Distrito Federal,No,sometimes,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
4603876622991360,3/13/2021,Female,36-45,Rural,food_regexpenses_nothingelse,diploma_degreecompleted,PartTime,Distrito Federal,No,yes,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
4986462159503360,3/22/2021,Female,16-25,"Suburban,Peri-urban",food_nothingelse,diploma_degreecompleted,Housework,Distrito Federal,No,sometimes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4628459472289792,3/16/2021,Female,36-45,"City,Metropolitian",food_nothingelse,Univ_college_degree_completed,PartTime,Distrito Federal,No,sometimes,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5856863337054208,3/13/2021,Female,26-35,"City,Metropolitian",notenoughfood,secondary_highschool_completed,Unemployed,Distrito Federal,No,yes,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
6328894134419456,3/28/2021,Female,36-45,"Suburban,Peri-urban",food_regexpenses_nothingelse,Univ_college_degree_completed,FullTime,Distrito Federal,No,yes,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
6245696591364096,3/14/2021,Female,>45,Rural,food_nothingelse,Primary_school_completed,Housework,Distrito Federal,No,yes,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0
5997476137140224,3/13/2021,Female,26-35,"City,Metropolitian",notenoughfood,diploma_degreecompleted,PartTime(Student),Distrito Federal,No,sometimes,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0
6194310663110656,3/13/2021,Female,16-25,Rural,food_nothingelse,diploma_degreecompleted,FullTime,Distrito Federal,1-2days,yes,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0
4791643332149248,3/13/2021,Male,16-25,"Suburban,Peri-urban",food_regexpenses_clothes_nothingelse,diploma_degreecompleted,FullTime,Distrito Federal,No,sometimes,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0
5970206248927232,4/3/2021,Male,36-45,"City,Metropolitian",food_regexpenses_nothingelse,Univ_college_degree_completed,PartTime,Distrito Federal,Yes,no,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1
5172583040548864,3/19/2021,Male,26-35,Rural,notenoughfood,Univ_college_degree_completed,PartTime(Student),Distrito Federal,1-2days,sometimes,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1
5327166563942400,3/24/2021,Female,26-35,"Suburban,Peri-urban",food_nothingelse,secondary_highschool_completed,Housework,Distrito Federal,No,yes,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0
5166632766013440,3/29/2021,Male,16-25,"Suburban,Peri-urban",notenoughfood,secondary_highschool_completed,Student,Distrito Federal,No,sometimes,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
5250121561538560,3/14/2021,Male,>45,"City,Metropolitian",food_nothingelse,secondary_highschool_completed,PartTime,Distrito Federal,No,sometimes,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1
6245335747002368,3/15/2021,Female,26-35,Rural,notenoughfood,secondary_highschool_completed,Student,Distrito Federal,No,no,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1
5175651324919808,3/14/2021,Male,16-25,"City,Metropolitian",notenoughfood,secondary_highschool_completed,Student,Distrito Federal,No,sometimes,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1
5417239141679104,3/15/2021,Male,26-35,"Suburban,Peri-urban",food_regexpenses_nothingelse,diploma_degreecompleted,Student,Distrito Federal,3-4days,sometimes,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1
6276976536190976,3/17/2021,Male,16-25,"Suburban,Peri-urban",food_clothes_furniture_savings,secondary_highschool_completed,Student,Distrito Federal,1-2days,no,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
4690058497228800,3/19/2021,Female,26-35,"Suburban,Peri-urban",food_nothingelse,diploma_degreecompleted,Unemployed,Distrito Federal,1-2days,sometimes,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1
5000415770050560,4/1/2021,Male,16-25,"Suburban,Peri-urban",food_nothingelse,secondary_highschool_completed,Unemployed,Distrito Federal,No,no,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
4708407201497088,3/14/2021,Female,36-45,"City,Metropolitian",food_clothes_furniture_nosavings,diploma_degreecompleted,PartTime,Distrito Federal,No,yes,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
5750851716251648,3/21/2021,Female,16-25,"Suburban,Peri-urban",Prefer not to answer,Univ_college_degree_completed,Unemployed,Distrito Federal,No,sometimes,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
6003573648523264,3/18/2021,Female,>45,"Suburban,Peri-urban",food_regexpenses_nothingelse,Univ_college_degree_completed,PartTime,Distrito Federal,No,sometimes,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0
4965366169337856,3/13/2021,Female,>45,"Suburban,Peri-urban",food_nothingelse,Primary_school_completed,Housework,Distrito Federal,No,sometimes,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0
5515801309478912,3/29/2021,Female,>45,"City,Metropolitian",food_nothingelse,secondary_highschool_completed,Retired,Distrito Federal,No,no,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1
6587523710320640,3/13/2021,Male,26-35,Rural,food_nothingelse,secondary_highschool_completed,PartTime(Student),Distrito Federal,No,yes,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
4836963558621184,3/13/2021,Female,>45,"City,Metropolitian",food_nothingelse,Univ_college_degree_completed,FullTime,Distrito Federal,3-4days,sometimes,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0
5309641990078464,3/23/2021,Female,>45,"City,Metropolitian",food_nothingelse,secondary_highschool_completed,Housework,Distrito Federal,No,sometimes,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0
6154200550735872,3/23/2021,Female,26-35,Rural,notenoughfood,Univ_college_degree_completed,PartTime,Distrito Federal,No,yes,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
4985992816885760,3/14/2021,Female,36-45,"City,Metropolitian",food_nothingelse,secondary_highschool_completed,Unemployed,Distrito Federal,No,no,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5656677713182720,3/28/2021,Female,26-35,"Suburban,Peri-urban",food_regexpenses_clothes_nothingelse,Univ_college_degree_completed,FullTime,Distrito Federal,No,yes,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1
4907735761289216,3/14/2021,Male,>45,"Suburban,Peri-urban",notenoughfood,secondary_highschool_completed,PartTime,Distrito Federal,No,sometimes,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1
4666488723341312,3/15/2021,Female,16-25,"City,Metropolitian",food_regexpenses_nothingelse,diploma_degreecompleted,Housework,Distrito Federal,No,sometimes,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0
5453935744909312,3/30/2021,Female,16-25,"City,Metropolitian",notenoughfood,Univ_college_degree_completed,Student,Distrito Federal,No,sometimes,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0
6530212404920320,3/13/2021,Female,26-35,"Suburban,Peri-urban",Prefer not to answer,diploma_degreecompleted,FullTime,Distrito Federal,No,yes,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4900953806602240,3/13/2021,Female,36-45,"City,Metropolitian",food_nothingelse,secondary_highschool_completed,Unemployed,Distrito Federal,No,yes,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
4625432996741120,3/13/2021,Female,36-45,"City,Metropolitian",food_nothingelse,Univ_college_degree_completed,Unemployed,Distrito Federal,No,sometimes,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
6396024674582528,3/13/2021,Male,26-35,Rural,notenoughfood,Univ_college_degree_completed,PartTime,Distrito Federal,No,sometimes,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
5398035856359424,3/26/2021,Female,36-45,"City,Metropolitian",food_regexpenses_nothingelse,Univ_college_degree_completed,PartTime,Distrito Federal,No,sometimes,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1
5209121870839808,3/13/2021,Female,26-35,"City,Metropolitian",food_nothingelse,secondary_highschool_completed,Unemployed,Distrito Federal,No,yes,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0
6507487514853376,3/20/2021,Female,26-35,"City,Metropolitian",food_nothingelse,Univ_college_degree_completed,FullTime,Distrito Federal,No,sometimes,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
4660570191298560,3/13/2021,Female,36-45,"City,Metropolitian",food_nothingelse,diploma_degreecompleted,Unemployed,Distrito Federal,No,yes,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
6312416962150400,3/18/2021,Female,>45,"Suburban,Peri-urban",food_regexpenses_nothingelse,Univ_college_degree_completed,FullTime,Distrito Federal,No,no,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1
6242814601199616,3/13/2021,Female,26-35,"City,Metropolitian",Prefer not to answer,diploma_degreecompleted,FullTime,Distrito Federal,No,yes,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
6515884394020864,3/15/2021,Male,36-45,"Suburban,Peri-urban",food_regexpenses_nothingelse,Univ_college_degree_completed,FullTime,Bolívar,1-2days,sometimes,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1
4864673748090880,3/14/2021,Male,26-35,"Suburban,Peri-urban",notenoughfood,secondary_highschool_completed,FullTime,Bolívar,No,sometimes,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1
4981936203497472,3/24/2021,Female,26-35,Rural,notenoughfood,secondary_highschool_completed,Student,Bolívar,No,sometimes,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0
6626049013317632,3/26/2021,Female,36-45,"Suburban,Peri-urban",food_regexpenses_nothingelse,Univ_college_degree_completed,PartTime,Bolívar,No,yes,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
5150176649150464,3/20/2021,Male,16-25,"Suburban,Peri-urban",notenoughfood,secondary_highschool_completed,Student,Bolívar,3-4days,sometimes,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0
4532959666503680,3/13/2021,Female,16-25,"City,Metropolitian",food_regexpenses_clothes_nothingelse,secondary_highschool_completed,PartTime(Student),Bolívar,No,yes,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
4921720174804992,3/13/2021,Male,>45,"City,Metropolitian",food_regexpenses_nothingelse,diploma_degreecompleted,PartTime,Bolívar,No,yes,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
5825898132799488,3/13/2021,Female,>45,"Suburban,Peri-urban",notenoughfood,secondary_highschool_completed,Retired,Bolívar,No,sometimes,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
6195762949259264,3/20/2021,Male,16-25,Rural,food_nothingelse,secondary_highschool_completed,Housework,Bolívar,Yes,yes,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
5569941519728640,3/21/2021,Female,26-35,"City,Metropolitian",food_nothingelse,diploma_degreecompleted,PartTime(Student),Bolívar,No,yes,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
4861590615883776,3/25/2021,Female,36-45,"City,Metropolitian",food_nothingelse,Univ_college_degree_completed,Unemployed,Bolívar,No,sometimes,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0
6233602231894016,3/20/2021,Male,16-25,"City,Metropolitian",food_clothes_furniture_savings,Univ_college_degree_completed,FullTime,Bolívar,No,sometimes,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1
4517303638294528,3/13/2021,Male,26-35,Rural,notenoughfood,Univ_college_degree_completed,PartTime,Bolívar,No,sometimes,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1
5560704404029440,3/13/2021,Female,36-45,"Suburban,Peri-urban",notenoughfood,diploma_degreecompleted,PartTime,Bolívar,No,yes,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
5666626283503616,3/13/2021,Male,36-45,"Suburban,Peri-urban",food_regexpenses_nothingelse,diploma_degreecompleted,PartTime,Bolívar,No,sometimes,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
5524570307297280,3/13/2021,Male,36-45,"Suburban,Peri-urban",food_regexpenses_nothingelse,Univ_college_degree_completed,PartTime,Bolívar,No,no,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
5362942098014208,3/13/2021,Female,16-25,"City,Metropolitian",notenoughfood,secondary_highschool_completed,Unemployed,Lara,No,sometimes,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0
5030426065502208,3/13/2021,Female,16-25,"Suburban,Peri-urban",food_nothingelse,Postgraduate,FullTime,Lara,No,sometimes,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1
6217103651897344,3/13/2021,Female,26-35,Rural,food_regexpenses_clothes_nothingelse,diploma_degreecompleted,Housework,Lara,No,sometimes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
6591814030327808,3/30/2021,Male,16-25,Rural,food_nothingelse,Prefer_not_to_say,Student,Lara,1-2days,yes,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1
5855956494974976,3/13/2021,Male,26-35,"Suburban,Peri-urban",food_regexpenses_nothingelse,secondary_highschool_completed,Unemployed,Lara,No,sometimes,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
6746326619652096,3/29/2021,Male,26-35,Rural,food_regexpenses_nothingelse,diploma_degreecompleted,PartTime,Lara,No,no,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
5264227844751360,3/14/2021,Male,>45,"Suburban,Peri-urban",food_regexpenses_nothingelse,Postgraduate,PartTime,Lara,No,yes,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
4825166894071808,3/13/2021,Male,16-25,Rural,food_nothingelse,secondary_highschool_completed,Student,Lara,No,sometimes,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1
5996426806165504,3/28/2021,Male,36-45,"Suburban,Peri-urban",food_regexpenses_nothingelse,secondary_highschool_completed,Unemployed,Lara,No,no,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1
6264691486883840,3/24/2021,Female,36-45,"Suburban,Peri-urban",food_nothingelse,Univ_college_degree_completed,Unemployed,Lara,No,sometimes,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0
6257961138913280,3/13/2021,Male,>45,"City,Metropolitian",food_regexpenses_clothes_nothingelse,Univ_college_degree_completed,PartTime,Lara,Yes,sometimes,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
6614254647246848,3/15/2021,Male,16-25,Rural,food_regexpenses_nothingelse,Primary_school_completed,Student,Lara,No,sometimes,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
5031557101518848,3/28/2021,Male,26-35,"City,Metropolitian",food_regexpenses_nothingelse,diploma_degreecompleted,PartTime,Lara,No,yes,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
6555359136448512,3/13/2021,Female,26-35,"Suburban,Peri-urban",food_regexpenses_nothingelse,secondary_highschool_completed,Housework,Lara,No,no,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
6614022853230592,3/15/2021,Male,16-25,Rural,notenoughfood,secondary_highschool_completed,Student,Lara,1-2days,no,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
5176541054238720,3/15/2021,Female,16-25,"Suburban,Peri-urban",food_nothingelse,secondary_highschool_completed,PartTime,Lara,No,sometimes,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0
6124684948275200,3/14/2021,Female,>45,"City,Metropolitian",food_nothingelse,Univ_college_degree_completed,PartTime,Lara,No,sometimes,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0
4702978698379264,3/13/2021,Male,26-35,"Suburban,Peri-urban",food_regexpenses_nothingelse,secondary_highschool_completed,Unemployed,Lara,No,sometimes,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0
5043703000596480,3/30/2021,Male,16-25,"City,Metropolitian",food_nothingelse,secondary_highschool_completed,PartTime(Student),Miranda,Yes,sometimes,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0
5285163864162304,3/18/2021,Female,26-35,"City,Metropolitian",food_nothingelse,diploma_degreecompleted,FullTime,Miranda,No,yes,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0
5965578757210112,3/13/2021,Female,36-45,"City,Metropolitian",food_regexpenses_nothingelse,Univ_college_degree_completed,Housework,Miranda,No,yes,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
4721462627008512,3/14/2021,Female,>45,"City,Metropolitian",food_regexpenses_clothes_nothingelse,Univ_college_degree_completed,FullTime,Miranda,No,yes,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
4742270720147456,3/20/2021,Male,26-35,Rural,food_regexpenses_nothingelse,Univ_college_degree_completed,FullTime,Miranda,No,yes,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
5310132388102144,3/13/2021,Female,26-35,"City,Metropolitian",food_regexpenses_nothingelse,Univ_college_degree_completed,Housework,Miranda,No,no,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1
5114281459974144,4/1/2021,Male,16-25,Rural,food_nothingelse,Univ_college_degree_completed,PartTime(Student),Miranda,No,sometimes,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0
5040650822352896,3/25/2021,Female,26-35,Rural,food_nothingelse,diploma_degreecompleted,Unemployed,Miranda,No,no,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
5015407084961792,3/31/2021,Male,16-25,"City,Metropolitian",Prefer not to answer,diploma_degreecompleted,Student,Miranda,No,yes,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
5247637845704704,3/31/2021,Male,>45,"City,Metropolitian",food_clothes_furniture_nosavings,Postgraduate,FullTime,Miranda,No,yes,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
4827546574389248,3/13/2021,Female,>45,"City,Metropolitian",food_regexpenses_nothingelse,Postgraduate,FullTime,Miranda,No,no,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0
4707954149556224,3/13/2021,Female,16-25,"City,Metropolitian",food_nothingelse,secondary_highschool_completed,FullTime,Miranda,No,sometimes,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0
6100754581684224,4/2/2021,Male,26-35,"Suburban,Peri-urban",food_nothingelse,Univ_college_degree_completed,FullTime,Miranda,1-2days,yes,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6525513710698496,3/18/2021,Female,36-45,"City,Metropolitian",food_clothes_furniture_savings,Univ_college_degree_completed,Unemployed,Miranda,No,sometimes,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1
5683650325905408,4/2/2021,Female,16-25,"City,Metropolitian",notenoughfood,secondary_highschool_completed,Student,Miranda,No,yes,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
5760905781706752,3/13/2021,Female,26-35,"City,Metropolitian",food_regexpenses_nothingelse,Univ_college_degree_completed,Unemployed,Miranda,No,no,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
5478906600882176,3/24/2021,Male,26-35,Rural,food_clothes_furniture_nosavings,secondary_highschool_completed,PartTime,Trujillo,No,no,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0
5499446074015744,3/26/2021,Female,16-25,Rural,Prefer not to answer,secondary_highschool_completed,Unemployed,Táchira,No,sometimes,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6680683832672256,3/15/2021,Female,16-25,Rural,food_regexpenses_nothingelse,diploma_degreecompleted,PartTime(Student),Mérida,No,no,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0
6241508058726400,3/13/2021,Female,26-35,"City,Metropolitian",food_nothingelse,Univ_college_degree_completed,Unemployed,Miranda,No,sometimes,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
5189740008833024,3/22/2021,Female,36-45,"City,Metropolitian",food_regexpenses_nothingelse,Univ_college_degree_completed,FullTime,Miranda,1-2days,sometimes,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
5281119934349312,3/25/2021,Male,26-35,"City,Metropolitian",notenoughfood,Univ_college_degree_completed,PartTime(Student),Miranda,No,no,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1
