submission_id,submission_id,submission_date,gender,age,geography,financial_situation,education,employment_status,submission_state,do_children_3_and_17_yrs_receive_regular_school_meals,are_there_teachers_at_scheduled_class_hours,can_children_observe_deterioration_of_basic_services_of_school,are_there_children_0_to_2_yrs_out_of_educational_system,were_children_3_to_17_yrs_enrolled_and_did_not_return_to_school,are_there_children_who_stopped_enrolling_in_primary_education,are_there_children_who_stopped_enrolling_in_secondary_education,are_children_attending_face_to_face_classes,are_children_3_to_17_yrs_dealing_with_irregular_school_activity,are_children_being_teached_by_unqualified_people,did_teachers_leave_the_educational_system,do_school_and_the_teachers_have_internet_connection,do_children_have_internet_connection,do_children_3_to_17_yrs_miss_virtual_class_due_to_lack_of_electricity,does_home_shows_severe_deficit_of_electricity,does_home_shows_severe_deficit_of_internet,do_children_3_to_17_yrs_miss_class_or_in_lower_grade,are_children_promoted_with_a_modality_different_from_formal_evaluation
516,5160000000000000,3/13/2021,Female,16-25,"City,Metropolitian",food_regexpenses_nothingelse,Univ_college_degree_completed,FullTime,Distrito Federal,No,sometimes,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
460,4600000000000000,3/13/2021,Female,36-45,Rural,food_regexpenses_nothingelse,diploma_degreecompleted,PartTime,Distrito Federal,No,yes,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
499,4990000000000000,3/22/2021,Female,16-25,"Suburban,Peri-urban",food_nothingelse,diploma_degreecompleted,Housework,Distrito Federal,No,sometimes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
463,4630000000000000,3/16/2021,Female,36-45,"City,Metropolitian",food_nothingelse,Univ_college_degree_completed,PartTime,Distrito Federal,No,sometimes,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
586,5860000000000000,3/13/2021,Female,26-35,"City,Metropolitian",notenoughfood,secondary_highschool_completed,Unemployed,Distrito Federal,No,yes,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
633,6330000000000000,3/28/2021,Female,36-45,"Suburban,Peri-urban",food_regexpenses_nothingelse,Univ_college_degree_completed,FullTime,Distrito Federal,No,yes,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
625,6250000000000000,3/14/2021,Female,>45,Rural,food_nothingelse,Primary_school_completed,Housework,Distrito Federal,No,yes,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0
600,6000000000000000,3/13/2021,Female,26-35,"City,Metropolitian",notenoughfood,diploma_degreecompleted,PartTime(Student),Distrito Federal,No,sometimes,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0
619,6190000000000000,3/13/2021,Female,16-25,Rural,food_nothingelse,diploma_degreecompleted,FullTime,Distrito Federal,1-2days,yes,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0
479,4790000000000000,3/13/2021,Male,16-25,"Suburban,Peri-urban",food_regexpenses_clothes_nothingelse,diploma_degreecompleted,FullTime,Distrito Federal,No,sometimes,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0
597,5970000000000000,4/3/2021,Male,36-45,"City,Metropolitian",food_regexpenses_nothingelse,Univ_college_degree_completed,PartTime,Distrito Federal,Yes,no,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1
517,5170000000000000,3/19/2021,Male,26-35,Rural,notenoughfood,Univ_college_degree_completed,PartTime(Student),Distrito Federal,1-2days,sometimes,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1
533,5330000000000000,3/24/2021,Female,26-35,"Suburban,Peri-urban",food_nothingelse,secondary_highschool_completed,Housework,Distrito Federal,No,yes,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0
517,5170000000000000,3/29/2021,Male,16-25,"Suburban,Peri-urban",notenoughfood,secondary_highschool_completed,Student,Distrito Federal,No,sometimes,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
525,5250000000000000,3/14/2021,Male,>45,"City,Metropolitian",food_nothingelse,secondary_highschool_completed,PartTime,Distrito Federal,No,sometimes,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1
625,6250000000000000,3/15/2021,Female,26-35,Rural,notenoughfood,secondary_highschool_completed,Student,Distrito Federal,No,no,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1
518,5180000000000000,3/14/2021,Male,16-25,"City,Metropolitian",notenoughfood,secondary_highschool_completed,Student,Distrito Federal,No,sometimes,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1
542,5420000000000000,3/15/2021,Male,26-35,"Suburban,Peri-urban",food_regexpenses_nothingelse,diploma_degreecompleted,Student,Distrito Federal,3-4days,sometimes,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1
628,6280000000000000,3/17/2021,Male,16-25,"Suburban,Peri-urban",food_clothes_furniture_savings,secondary_highschool_completed,Student,Distrito Federal,1-2days,no,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
469,4690000000000000,3/19/2021,Female,26-35,"Suburban,Peri-urban",food_nothingelse,diploma_degreecompleted,Unemployed,Distrito Federal,1-2days,sometimes,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1
500,5000000000000000,4/1/2021,Male,16-25,"Suburban,Peri-urban",food_nothingelse,secondary_highschool_completed,Unemployed,Distrito Federal,No,no,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
471,4710000000000000,3/14/2021,Female,36-45,"City,Metropolitian",food_clothes_furniture_nosavings,diploma_degreecompleted,PartTime,Distrito Federal,No,yes,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
575,5750000000000000,3/21/2021,Female,16-25,"Suburban,Peri-urban",Prefer not to answer,Univ_college_degree_completed,Unemployed,Distrito Federal,No,sometimes,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
600,6000000000000000,3/18/2021,Female,>45,"Suburban,Peri-urban",food_regexpenses_nothingelse,Univ_college_degree_completed,PartTime,Distrito Federal,No,sometimes,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0
497,4970000000000000,3/13/2021,Female,>45,"Suburban,Peri-urban",food_nothingelse,Primary_school_completed,Housework,Distrito Federal,No,sometimes,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0
552,5520000000000000,3/29/2021,Female,>45,"City,Metropolitian",food_nothingelse,secondary_highschool_completed,Retired,Distrito Federal,No,no,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1
659,6590000000000000,3/13/2021,Male,26-35,Rural,food_nothingelse,secondary_highschool_completed,PartTime(Student),Distrito Federal,No,yes,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
484,4840000000000000,3/13/2021,Female,>45,"City,Metropolitian",food_nothingelse,Univ_college_degree_completed,FullTime,Distrito Federal,3-4days,sometimes,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0
531,5310000000000000,3/23/2021,Female,>45,"City,Metropolitian",food_nothingelse,secondary_highschool_completed,Housework,Distrito Federal,No,sometimes,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0
615,6150000000000000,3/23/2021,Female,26-35,Rural,notenoughfood,Univ_college_degree_completed,PartTime,Distrito Federal,No,yes,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
499,4990000000000000,3/14/2021,Female,36-45,"City,Metropolitian",food_nothingelse,secondary_highschool_completed,Unemployed,Distrito Federal,No,no,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
566,5660000000000000,3/28/2021,Female,26-35,"Suburban,Peri-urban",food_regexpenses_clothes_nothingelse,Univ_college_degree_completed,FullTime,Distrito Federal,No,yes,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1
491,4910000000000000,3/14/2021,Male,>45,"Suburban,Peri-urban",notenoughfood,secondary_highschool_completed,PartTime,Distrito Federal,No,sometimes,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1
467,4670000000000000,3/15/2021,Female,16-25,"City,Metropolitian",food_regexpenses_nothingelse,diploma_degreecompleted,Housework,Distrito Federal,No,sometimes,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0
545,5450000000000000,3/30/2021,Female,16-25,"City,Metropolitian",notenoughfood,Univ_college_degree_completed,Student,Distrito Federal,No,sometimes,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0
653,6530000000000000,3/13/2021,Female,26-35,"Suburban,Peri-urban",Prefer not to answer,diploma_degreecompleted,FullTime,Distrito Federal,No,yes,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
490,4900000000000000,3/13/2021,Female,36-45,"City,Metropolitian",food_nothingelse,secondary_highschool_completed,Unemployed,Distrito Federal,No,yes,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
463,4630000000000000,3/13/2021,Female,36-45,"City,Metropolitian",food_nothingelse,Univ_college_degree_completed,Unemployed,Distrito Federal,No,sometimes,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
640,6400000000000000,3/13/2021,Male,26-35,Rural,notenoughfood,Univ_college_degree_completed,PartTime,Distrito Federal,No,sometimes,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
540,5400000000000000,3/26/2021,Female,36-45,"City,Metropolitian",food_regexpenses_nothingelse,Univ_college_degree_completed,PartTime,Distrito Federal,No,sometimes,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1
521,5210000000000000,3/13/2021,Female,26-35,"City,Metropolitian",food_nothingelse,secondary_highschool_completed,Unemployed,Distrito Federal,No,yes,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0
651,6510000000000000,3/20/2021,Female,26-35,"City,Metropolitian",food_nothingelse,Univ_college_degree_completed,FullTime,Distrito Federal,No,sometimes,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
466,4660000000000000,3/13/2021,Female,36-45,"City,Metropolitian",food_nothingelse,diploma_degreecompleted,Unemployed,Distrito Federal,No,yes,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
631,6310000000000000,3/18/2021,Female,>45,"Suburban,Peri-urban",food_regexpenses_nothingelse,Univ_college_degree_completed,FullTime,Distrito Federal,No,no,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1
624,6240000000000000,3/13/2021,Female,26-35,"City,Metropolitian",Prefer not to answer,diploma_degreecompleted,FullTime,Distrito Federal,No,yes,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
652,6520000000000000,3/15/2021,Male,36-45,"Suburban,Peri-urban",food_regexpenses_nothingelse,Univ_college_degree_completed,FullTime,Bolívar,1-2days,sometimes,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1
486,4860000000000000,3/14/2021,Male,26-35,"Suburban,Peri-urban",notenoughfood,secondary_highschool_completed,FullTime,Bolívar,No,sometimes,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1
498,4980000000000000,3/24/2021,Female,26-35,Rural,notenoughfood,secondary_highschool_completed,Student,Bolívar,No,sometimes,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0
663,6630000000000000,3/26/2021,Female,36-45,"Suburban,Peri-urban",food_regexpenses_nothingelse,Univ_college_degree_completed,PartTime,Bolívar,No,yes,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
515,5150000000000000,3/20/2021,Male,16-25,"Suburban,Peri-urban",notenoughfood,secondary_highschool_completed,Student,Bolívar,3-4days,sometimes,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0
453,4530000000000000,3/13/2021,Female,16-25,"City,Metropolitian",food_regexpenses_clothes_nothingelse,secondary_highschool_completed,PartTime(Student),Bolívar,No,yes,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
492,4920000000000000,3/13/2021,Male,>45,"City,Metropolitian",food_regexpenses_nothingelse,diploma_degreecompleted,PartTime,Bolívar,No,yes,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
583,5830000000000000,3/13/2021,Female,>45,"Suburban,Peri-urban",notenoughfood,secondary_highschool_completed,Retired,Bolívar,No,sometimes,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
620,6200000000000000,3/20/2021,Male,16-25,Rural,food_nothingelse,secondary_highschool_completed,Housework,Bolívar,Yes,yes,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
557,5570000000000000,3/21/2021,Female,26-35,"City,Metropolitian",food_nothingelse,diploma_degreecompleted,PartTime(Student),Bolívar,No,yes,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
486,4860000000000000,3/25/2021,Female,36-45,"City,Metropolitian",food_nothingelse,Univ_college_degree_completed,Unemployed,Bolívar,No,sometimes,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0
623,6230000000000000,3/20/2021,Male,16-25,"City,Metropolitian",food_clothes_furniture_savings,Univ_college_degree_completed,FullTime,Bolívar,No,sometimes,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1
452,4520000000000000,3/13/2021,Male,26-35,Rural,notenoughfood,Univ_college_degree_completed,PartTime,Bolívar,No,sometimes,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1
556,5560000000000000,3/13/2021,Female,36-45,"Suburban,Peri-urban",notenoughfood,diploma_degreecompleted,PartTime,Bolívar,No,yes,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
567,5670000000000000,3/13/2021,Male,36-45,"Suburban,Peri-urban",food_regexpenses_nothingelse,diploma_degreecompleted,PartTime,Bolívar,No,sometimes,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
552,5520000000000000,3/13/2021,Male,36-45,"Suburban,Peri-urban",food_regexpenses_nothingelse,Univ_college_degree_completed,PartTime,Bolívar,No,no,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
536,5360000000000000,3/13/2021,Female,16-25,"City,Metropolitian",notenoughfood,secondary_highschool_completed,Unemployed,Lara,No,sometimes,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0
503,5030000000000000,3/13/2021,Female,16-25,"Suburban,Peri-urban",food_nothingelse,Postgraduate,FullTime,Lara,No,sometimes,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1
622,6220000000000000,3/13/2021,Female,26-35,Rural,food_regexpenses_clothes_nothingelse,diploma_degreecompleted,Housework,Lara,No,sometimes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
659,6590000000000000,3/30/2021,Male,16-25,Rural,food_nothingelse,Prefer_not_to_say,Student,Lara,1-2days,yes,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1
586,5860000000000000,3/13/2021,Male,26-35,"Suburban,Peri-urban",food_regexpenses_nothingelse,secondary_highschool_completed,Unemployed,Lara,No,sometimes,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
675,6750000000000000,3/29/2021,Male,26-35,Rural,food_regexpenses_nothingelse,diploma_degreecompleted,PartTime,Lara,No,no,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
526,5260000000000000,3/14/2021,Male,>45,"Suburban,Peri-urban",food_regexpenses_nothingelse,Postgraduate,PartTime,Lara,No,yes,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
483,4830000000000000,3/13/2021,Male,16-25,Rural,food_nothingelse,secondary_highschool_completed,Student,Lara,No,sometimes,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1
600,6000000000000000,3/28/2021,Male,36-45,"Suburban,Peri-urban",food_regexpenses_nothingelse,secondary_highschool_completed,Unemployed,Lara,No,no,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1
626,6260000000000000,3/24/2021,Female,36-45,"Suburban,Peri-urban",food_nothingelse,Univ_college_degree_completed,Unemployed,Lara,No,sometimes,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0
626,6260000000000000,3/13/2021,Male,>45,"City,Metropolitian",food_regexpenses_clothes_nothingelse,Univ_college_degree_completed,PartTime,Lara,Yes,sometimes,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
661,6610000000000000,3/15/2021,Male,16-25,Rural,food_regexpenses_nothingelse,Primary_school_completed,Student,Lara,No,sometimes,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
503,5030000000000000,3/28/2021,Male,26-35,"City,Metropolitian",food_regexpenses_nothingelse,diploma_degreecompleted,PartTime,Lara,No,yes,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
656,6560000000000000,3/13/2021,Female,26-35,"Suburban,Peri-urban",food_regexpenses_nothingelse,secondary_highschool_completed,Housework,Lara,No,no,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
661,6610000000000000,3/15/2021,Male,16-25,Rural,notenoughfood,secondary_highschool_completed,Student,Lara,1-2days,no,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
518,5180000000000000,3/15/2021,Female,16-25,"Suburban,Peri-urban",food_nothingelse,secondary_highschool_completed,PartTime,Lara,No,sometimes,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0
612,6120000000000000,3/14/2021,Female,>45,"City,Metropolitian",food_nothingelse,Univ_college_degree_completed,PartTime,Lara,No,sometimes,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0
470,4700000000000000,3/13/2021,Male,26-35,"Suburban,Peri-urban",food_regexpenses_nothingelse,secondary_highschool_completed,Unemployed,Lara,No,sometimes,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0
504,5040000000000000,3/30/2021,Male,16-25,"City,Metropolitian",food_nothingelse,secondary_highschool_completed,PartTime(Student),Miranda,Yes,sometimes,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0
529,5290000000000000,3/18/2021,Female,26-35,"City,Metropolitian",food_nothingelse,diploma_degreecompleted,FullTime,Miranda,No,yes,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0
597,5970000000000000,3/13/2021,Female,36-45,"City,Metropolitian",food_regexpenses_nothingelse,Univ_college_degree_completed,Housework,Miranda,No,yes,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
472,4720000000000000,3/14/2021,Female,>45,"City,Metropolitian",food_regexpenses_clothes_nothingelse,Univ_college_degree_completed,FullTime,Miranda,No,yes,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
474,4740000000000000,3/20/2021,Male,26-35,Rural,food_regexpenses_nothingelse,Univ_college_degree_completed,FullTime,Miranda,No,yes,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
531,5310000000000000,3/13/2021,Female,26-35,"City,Metropolitian",food_regexpenses_nothingelse,Univ_college_degree_completed,Housework,Miranda,No,no,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1
511,5110000000000000,4/1/2021,Male,16-25,Rural,food_nothingelse,Univ_college_degree_completed,PartTime(Student),Miranda,No,sometimes,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0
504,5040000000000000,3/25/2021,Female,26-35,Rural,food_nothingelse,diploma_degreecompleted,Unemployed,Miranda,No,no,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
502,5020000000000000,3/31/2021,Male,16-25,"City,Metropolitian",Prefer not to answer,diploma_degreecompleted,Student,Miranda,No,yes,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
525,5250000000000000,3/31/2021,Male,>45,"City,Metropolitian",food_clothes_furniture_nosavings,Postgraduate,FullTime,Miranda,No,yes,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
483,4830000000000000,3/13/2021,Female,>45,"City,Metropolitian",food_regexpenses_nothingelse,Postgraduate,FullTime,Miranda,No,no,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0
471,4710000000000000,3/13/2021,Female,16-25,"City,Metropolitian",food_nothingelse,secondary_highschool_completed,FullTime,Miranda,No,sometimes,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0
610,6100000000000000,4/2/2021,Male,26-35,"Suburban,Peri-urban",food_nothingelse,Univ_college_degree_completed,FullTime,Miranda,1-2days,yes,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
653,6530000000000000,3/18/2021,Female,36-45,"City,Metropolitian",food_clothes_furniture_savings,Univ_college_degree_completed,Unemployed,Miranda,No,sometimes,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1
568,5680000000000000,4/2/2021,Female,16-25,"City,Metropolitian",notenoughfood,secondary_highschool_completed,Student,Miranda,No,yes,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
576,5760000000000000,3/13/2021,Female,26-35,"City,Metropolitian",food_regexpenses_nothingelse,Univ_college_degree_completed,Unemployed,Miranda,No,no,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
548,5480000000000000,3/24/2021,Male,26-35,Rural,food_clothes_furniture_nosavings,secondary_highschool_completed,PartTime,Trujillo,No,no,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0
550,5500000000000000,3/26/2021,Female,16-25,Rural,Prefer not to answer,secondary_highschool_completed,Unemployed,Táchira,No,sometimes,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
668,6680000000000000,3/15/2021,Female,16-25,Rural,food_regexpenses_nothingelse,diploma_degreecompleted,PartTime(Student),Mérida,No,no,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0
624,6240000000000000,3/13/2021,Female,26-35,"City,Metropolitian",food_nothingelse,Univ_college_degree_completed,Unemployed,Miranda,No,sometimes,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
